GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,9,0,0,0,4,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,8,74,1,3,2,20,1,10,0,9
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,71,0,2,0,20,0,10,0,9
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,8,74,1,3,2,20,1,10,0,9
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,8,74,1,3,2,20,1,10,0,9
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,8,79,1,3,2,21,1,10,0,9
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,8,73,1,3,2,20,1,10,0,9
spring-boot-skeleton,com.nnk.springboot.services,UserServices,22,104,1,5,4,22,4,8,3,6
spring-boot-skeleton,com.nnk.springboot.services,RatingServices,17,50,0,4,3,14,3,7,3,5
spring-boot-skeleton,com.nnk.springboot.services,RuleNameServices,17,61,0,4,3,15,3,7,3,5
spring-boot-skeleton,com.nnk.springboot.services,TradeServices,46,50,2,4,12,14,5,7,4,5
spring-boot-skeleton,com.nnk.springboot.services,CurvePointServices,27,50,0,4,4,14,3,7,3,5
spring-boot-skeleton,com.nnk.springboot.services,BidListServices,17,50,0,4,3,14,3,7,3,5
spring-boot-skeleton,com.nnk.springboot.config,SpringSecurityConfig,0,76,0,0,0,17,0,6,0,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,21,32,0,0,9,14,6,6,6,6
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,35,38,0,0,15,16,10,6,10,6
spring-boot-skeleton,com.nnk.springboot.domain,BidList,21,149,0,0,9,64,6,40,6,40
spring-boot-skeleton,com.nnk.springboot.domain,Trade,34,146,0,0,14,64,10,40,10,40
spring-boot-skeleton,com.nnk.springboot.domain,User,17,31,0,0,8,14,7,9,7,9
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,28,31,0,0,12,13,8,6,8,6
